epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,largestError,MSError
100,1e-06,1e-13,-45892.63829936807,41926.018733163466,83542.52580209618,196705.7557400936,192524.37241369658,1338.5820906528925,18364.859023065976,26427.126475094945,340602.5656294386,805960007.428948
100,1e-06,1e-12,-45892.638293217846,41926.01872861323,83542.5258025755,196705.75572663866,192524.3724040366,1338.5820874901408,18364.85902226578,26427.126474546476,340602.5656478669,805960007.4648412
100,1e-06,1e-11,-45892.63823171643,41926.01868312116,83542.52580734654,196705.7555921752,192524.37230737682,1338.5820558624343,18364.8590142521,26427.126469055882,340602.5658321467,805960007.8237002
100,1e-07,0,-45813.59253759791,41863.25098813321,83544.95497338673,196519.4807768513,192388.3456146138,1292.2005201301868,18344.487438370415,26417.466285211765,340871.4036243992,806459739.6682895
100,1e-07,1e-13,-45813.592537536104,41863.25098808225,83544.95497338567,196519.48077669853,192388.34561450183,1292.200520090123,18344.487438348748,26417.466285202765,340871.403624627,806459739.6687008
100,1e-07,1e-12,-45813.59253699802,41863.25098762307,83544.95497337468,196519.4807753293,192388.34561349434,1292.2005197303338,18344.48743813648,26417.466285119015,340871.40362669074,806459739.6723949
100,1e-07,1e-11,-45813.59253160142,41863.25098303933,83544.9549732835,196519.48076162822,192388.3456033469,1292.2005161320374,18344.487436010255,26417.4662842792,340871.40364737646,806459739.7094094
100,1e-08,0,-45806.296174234085,41856.94483728236,83544.7385928441,196500.64921191454,192374.36109188606,1287.2114447759054,18341.383465864783,26416.2712647635,340900.1018133716,806510657.8137538
100,1e-08,1e-13,-45806.296174227115,41856.94483727761,83544.73859284385,196500.64921190144,192374.36109187867,1287.2114447718434,18341.383465865016,26416.271264763203,340900.1018133878,806510657.813787
100,1e-08,1e-12,-45806.29617417438,41856.94483723089,83544.73859283944,196500.64921176666,192374.36109177163,1287.2114447353717,18341.383465839666,26416.271264753603,340900.10181360284,806510657.8141605
100,1e-08,1e-11,-45806.29617364533,41856.944836771334,83544.73859282493,196500.64921039203,192374.36109075026,1287.2114443703724,18341.383465609513,26416.27126466584,340900.1018157011,806510657.817881
100,1e-09,0,-45805.573331604086,41856.31389767015,83544.71183699385,196498.76380799143,192372.95840877193,1286.7086207395087,18341.06117561135,26416.1490737512,340902.9918203661,806515761.0073128
100,1e-09,1e-13,-45805.573331603526,41856.31389766964,83544.71183699433,196498.76380798966,192372.958408771,1286.7086207390475,18341.061175611234,26416.149073751174,340902.9918203681,806515761.007316
100,1e-09,1e-12,-45805.57333159779,41856.313897665335,83544.71183699234,196498.76380797685,192372.95840875918,1286.7086207354014,18341.06117560838,26416.149073750006,340902.9918203909,806515761.0073564
100,1e-09,1e-11,-45805.57333154529,41856.31389762384,83544.71183698985,196498.76380785852,192372.9584086625,1286.7086206988345,18341.061175590192,26416.149073742203,340902.9918205779,806515761.0076917
